Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,,61,100.00%,100.00%
Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,,92,100.00%,100.00%
Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,,334,100.00%,100.00%
Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,,140,100.00%,100.00%
ROS stress in cancer cells and therapeutic implications,ROS stress in cancer cells and therapeutic implications,,1338,100.00%,100.00%
Stabilization of p53 is a novel mechanism for proapoptotic function of NF-kappaB,Stabilization of p53 is a novel mechanism for proapoptotic function of NF-κB,C Schmidt,121,91.67%,91.67%
Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,,267,100.00%,100.00%
Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis.,Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis,,36,92.86%,92.86%
Interfering of the mitochondrial electron transport: A novel strategy to enhance drug-induced apoptosis in leukemia cells through a free radical-mediated mechanism,… of mitochondrial respiration a novel strategy to enhance drug-induced apoptosis in human leukemia cells by a reactive oxygen species-mediated mechanism,,473,61.90%,60.00%
Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,,163,100.00%,100.00%
"Action of (E)-2'-deoxy-2'-(fluoromethylene)cytidine on DNA metabolism: incorporation, excision, and cellular response","Action of (E)-2′-deoxy-2′-(fluoromethylene) cytidine on DNA metabolism: incorporation, excision, and cellular response",,29,90.91%,83.33%
he circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,The circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,CC Lee,1016,94.12%,94.12%
Mitochondrial defects in cancer.,Mitochondrial defects in cancer,,593,75.00%,75.00%
Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,,7,100.00%,100.00%
2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G(2) arrest.,2′-C-cyano-2′-deoxy-1-β-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G2 arrest,,61,80.00%,80.00%
Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine (CNDAC),Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine (CNDAC),,19,90.00%,90.00%
Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,W Zhang,18,100.00%,100.00%
Interaction of p53 and DNA-PK in response to nucleoside analogues: potential role as a sensor complex for DNA damage,Interaction of p53 and DNA-PK in Response to Nucleoside Analogues,,134,36.84%,70.00%
Role of Free Radicals in Cancer Development,[CITATION][C] Role of free radicals in cancer development,,1,42.86%,37.50%
S-Phase arrest by nucleoside analogues and abrogation of survival without cell cycle progression by 7-hydroxystaurosporine,S-Phase arrest by nucleoside analogues and abrogation of survival without cell cycle progression by 7-hydroxystaurosporine,,142,100.00%,100.00%
Superoxide dismutase: an emerging target for cancer therapeutics.,Superoxide dismutase: an emerging target for cancer therapeutics,,82,87.50%,87.50%
Comparison of action of paclitaxel and poly(L-glutamic acid)-paclitaxel conjugate in human breast cancer cells,Comparison of action of paclitaxel and poly (L-glutamic acid)-paclitaxel conjugate in human breast cancer cells.,C Li,51,85.71%,80.00%
Differential free adical metabolism in cancer and normal cells as a biochemical basis for selective cancer therapy,Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,,334,35.29%,58.33%
DNA damage-induced phosphorylation of p53 at serine 20 correlates with p21 and Mdm-2 induction in vivo,DNA damage-induced phosphorylation of p53 at serine 20 correlates with p21 and Mdm-2 induction in vivo,W Zhang,60,100.00%,100.00%
"Phosphorolytic cleavage of 2-fluoroadenine from 9-b-D-arabinofuranosyl-2-fluoroadenine by Escherichia coli, a pathway for 2-fluoro-ATP production",Phosphorolytic cleavage of 2-fluoroadenine from 9-β-D-arabinofuranosyl-2-fluoroadenine by Escherichia coli: a pathway for 2-fluoro-ATP production,,31,85.71%,85.71%
Mathematical  principle  and  application  of  canonical  correlation to quantitative genetic analysis,Genes: a software package for analysis in experimental statistics and quantitative genetics,CD Cruz,815,17.65%,25.00%
"A new method to measure the kernel volume of maize (Zea mays, L.)","Simultaneous femtomole determination of cysteine, reduced and oxidized glutathione, and phytochelatin in maize (Zea mays L.) kernels using high-performance liquid …",,164,30.77%,20.00%
On the application of fuzzy clustering to genetic analysis.,Fuzzy C-means method for clustering microarray data,,546,11.11%,14.29%
"Study  on  the  relationship  between  genetic  distances  and  specific combining ability of yields in maize (Zea mays, L.)",Association of restriction fragment length polymorphisms among maize inbreds with agronomic performance of their crosses,KR Lamkey,341,11.54%,13.33%
"The methods for measuring genetic distance and the relationship between yield heterosis/specific combining ability and genetic distance in maize (Zea mays, L.",THE METHODS FOR MEASURING GENETIC DISTANCE AND THE RELATIONSHIP BETWEEN YIELD HETEROSIS/SPECIFIC COMBINING ABILITY AND GENETIC …,,18,0.00%,0.00%
Computational search of a special orthogonal experiment design scheme,Review of metamodeling techniques in support of engineering design optimization,GG Wang,1082,33.33%,20.00%
Estimating genetic variation in restriction fragment length polymorphism of nucleic acids,Construction of a genetic linkage map in man using restriction fragment length polymorphisms.,D Botstein,9752,54.55%,46.15%
History  of  science:  G.  W.  Yule  ¨C  A  founder  of  polygene  hypothesis  of quantitative genetics who should not have been forgot,Quantitative methods in biological and medical sciences,,31,0.00%,0.00%
Isolation  of  Caenorhabditis  elegans mutants lacking alcohol dehydrogenase activity.,Isolation ofCaenorhabditis elegans mutants lacking alcohol dehydrogenase activity,,14,50.00%,75.00%
Codon usage divergence of homologous vertebrate genes and codon usage clock.,Codon usage divergence of homologous vertebrate genes and codon usage clock,,31,90.91%,90.91%
"Natural selection and the origin of jingwei, a chimeric processed functional gene in Drosophila","Natural selection and the origin of jingwei, a chimeric processed functional gene in Drosophila",CH Langley,369,100.00%,100.00%
Tests of the exon theory of genes,Testing the exon theory of genes: the evidence from protein structure,A Stoltzfus JM Logsdon Jr,225,71.43%,45.45%
Evolution of intron/exon structure of eukaryotic genes,Evolution of the intron-exon structure of eukaryotic genes,SJ de Souza,124,85.71%,75.00%
Intron phase correlations and the evolution of intron/exon structure of genes,Intron phase correlations and the evolution of the intron/exon structure of genes,,235,109.09%,91.67%
Intron positions correlate with module boundaries in ancient proteins.,Intron positions correlate with module boundaries in ancient proteins,SJ De Souza,138,88.89%,88.89%
Exon shuffling and origin of plant mitochondrial targeting targeting in cytochrome c1 precursor,Exon shuffling and the origin of the mitochondrial targeting function in plant cytochrome c1 precursor,SJ De Souza,93,92.31%,86.67%
Introns and gene evolution,Introns in gene evolution,,215,75.00%,75.00%
Nucleotide polymorphism and evolution of the decapentaplegic gene in Drosophila,Development and evolution of insect pigmentation: genetic mechanisms and the potential consequences of pleiotropy,PJ Wittkopp P Beldade,163,60.00%,28.57%
Delta-interacting protein A and the origin of hepatitis delta antigen.,Delta-interacting protein A and the origin of hepatitis delta antigen,SJ de Souza,16,90.00%,90.00%
Origin of genes,Origin of genes,SJ De Souza,251,100.00%,100.00%
The yeast  splice site revisited: A new exon consensus from genomic analysis,[CITATION][C] The yeast splice site revisited: new exon consensus from genomic analysis,SJ de Souza,22,84.62%,91.67%
The correlation between introns and the three-dimensional structure of proteins,The correlation between introns and the three-dimensional structure of proteins,SJ de Souza SW Roy,22,100.00%,100.00%
"Relationship between ""proto-splice sites"" and intron phases: Evidence from Dicodon Analysis",Relationship between “proto-splice sites” and intron phases: evidence from dicodon analysis,SJ De Souza,98,54.55%,54.55%
Towards a resolution of the introns early/late debate.  Only phase zero introns are correlated with the structure of ancient proteins,Toward a resolution of the introns early/late debate: only phase zero introns are correlated with the structure of ancient proteins,SJ De Souza RJ Klein,196,80.95%,85.00%
Intron-exon structures: from molecular to population biology.,Intron-exon structures: from molecular to population biology,SJ de Souza,10,85.71%,85.71%
"Origin of New Genes and source for N-terminal domain of the chimerical gene, jingwei, in Drosophila","Origin of new genes and source for N-terminal domain of the chimerical gene, jingwei, in Drosophila",J Zhang,57,87.50%,87.50%
Generation of a widespread Drosophila inversion by a transposable element.,Generation of a widespread Drosophila inversion by a transposable element,M Cáceres JM Ranz A Barbadilla,189,90.00%,90.00%
ExInt-an Exon/Intron database.,ExInt: an exon intron database,M Sakharkar JE de Souza,60,0.00%,0.00%
Protein coding segments: evolution of exon-intron gene structure,Protein‐Coding Segments: Evolution of Exon–Intron Gene Structure,,2,12.50%,14.29%
IE-Kb: intron exon knowledge base,IE-Kb: intron exon knowledge base,MK Sakharkar TW Tan,16,100.00%,100.00%
A  new  function  evolved from  gene  fusion,A new function evolved from gene fusion,,48,58.33%,100.00%
"Testing the ""proto-splice sites"" model of intron origin: Evidence from analysis of intron-phase correlations",Testing the “proto-splice sites” model of intron origin: evidence from analysis of intron phase correlations,,43,78.57%,66.67%
AP genes from apicomplexan parasites: Evidence for evolution of the gene structure,Aspartyl proteinase genes from apicomplexan parasites: evidence for evolution of the gene structure,F Tomley,27,83.33%,76.92%
Gene duplication and evolution,Gene duplication and evolution,M Lynch,180,100.00%,100.00%
Evolution of novel genes,Evolution of novel genes,,182,100.00%,100.00%
Introns: Movement. Encyclopaedia of the Human Genome,Gene disruptions using P transposable elements: an integral component of the Drosophila genome project,AC Spradling,492,28.57%,14.29%
