A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Y Modis,62,100.00%,100.00%
Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat- and redox-treatment.,Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat-and redox-treatment,,21,80.00%,85.71%
In-depth process understanding of RECOMBIVAX HB® maturationand potential epitope improvements with redox treatment: Multifaceted biochemical and immunochemical characterization.,In-depth process understanding of RECOMBIVAX HB® maturation and potential epitope improvements with redox treatment: multifaceted biochemical and …,,25,77.78%,82.35%
Measurement and decomposition kinetics of residual hydrogen peroxide in the presence of commonly-used excipients and preservatives.,Measurement and decomposition kinetics of residual hydrogen peroxide in the presence of commonly used excipients and preservatives,,5,87.50%,82.35%
Maturation of recombinant Hepatitis B virus surface antigen particles,Maturation of recombinant hepatitis B virus surface antigen particles,,43,88.89%,88.89%
Unexpected Genetic and Structural Relationships of a Long-forgotten Flavoenzyme to NAD(P)H:Quinone Reductase (DT Diaphorase),Unexpected genetic and structural relationships of a long-forgotten flavoenzyme to NAD (P) H: quinone reductase (DT-diaphorase),,95,35.71%,31.25%
"Endogenous ω-3 Polyunsaturated Fatty Acid Production Confers Resistance to Obesity, Dyslipidemia, and Diabetes in Mice.","Endogenous ω-3 polyunsaturated fatty acid production confers resistance to obesity, dyslipidemia, and diabetes in mice",JX Kang,33,33.33%,33.33%
Role of p53 in preadipocyte differentiation.,Role of p53 in preadipocyte differentiation,M Liu,14,83.33%,83.33%
An Empirical Site-Classification Method for Strong-Motion Stations in Japan Using H/V Response Spectral Ratio,An empirical site-classification method for strong-motion stations in Japan using H/V response spectral ratio,,117,35.71%,35.71%
Crustal and Subduction zone attenuation relations for New Zealand earthquakes.,Crustal and subduction zone attenuation relations for New Zealand earthquakes,,42,80.00%,80.00%
Empirical models for estimating liquefaction-induced lateral spread displacement.,Empirical models for estimating liquefaction-induced lateral spread displacement,,22,87.50%,87.50%
Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems.,[CITATION][C] Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems,,3,94.12%,88.89%
background and preliminary results.,Preliminary results from the COBE differential microwave radiometers-Large angular scale isotropy of the cosmic microwave background,CL Bennett,360,25.00%,6.25%
Attenuation of ground motion and site response in Guangdong region.,Attenuation of ground motion and site response in Guangdong region,,11,90.00%,90.00%
Attenuation characteristics of ground motions in northern China,Attenuation characteristics of ground motions in northern China,,5,100.00%,100.00%
Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,,5,100.00%,100.00%
The Chi-Chi earthquake of 21 September 1999 : report of the NZSEE Reconnaissance Team.,"[CITATION][C] The Chi-Chi, Taiwan earthquake of 21 September 1999: Report of the NZSEE Reconnaissance Team",,7,64.29%,60.00%
"Modelling and earthquake response of Gisborne Post Office site, New Zealand.","[CITATION][C] Modelling and earthquake response of Gisborne post office site, New Zealand",,8,72.73%,66.67%
A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data.,[CITATION][C] A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data,,32,94.74%,90.00%
Earthquake hazard in Christchurch.,[CITATION][C] Earthquake hazard in Christchurch,,14,75.00%,60.00%
Assessment of seismicity model for Hong Kong region.,Assessment of seismicity model for Hong Kong region,,21,87.50%,87.50%
Experimental results and dynamic parameters for the Penguin Vibration Damper (PVD) for wind and earthquake loading.,[CITATION][C] Experimental results and dynamic parameters for the penguin vibration damper (PVD) for wind and earthquake loading,,3,75.00%,70.59%
Assessing seismic response of soft soil sites in Hong Kong using microtremor records,Assessing Seismic Response of Soft Soil Sites in Hong Kong Using icrotremor Records,ES lam,19,38.46%,38.46%
Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response.,Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response,,5,93.33%,93.33%
The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes.,[CITATION][C] The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes,,3,94.44%,89.47%
Modal analysis of soft-soil sites including radiation damping,MODAL ANALYSIS OF SOFT‐SOIL SITES INCLUDING RADIATION DAMPING,,14,0.00%,0.00%
Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records.,Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records,,1,92.86%,92.86%
Calculating the dynamic stiffness matrix of 2-D foundations by discrete wave number indirect boundary element methods.,CALCULATING THE DYNAMIC STIFFNESS MATRIX OF 2‐D FOUNDATIONS BY DISCRETE WAVE NUMBER INDIRECT BOUNDARY ELEMENT METHODS,,7,0.00%,0.00%
Estimating modal parameters for a simple soft-soil site having a linear distribution of shear wave velocity with depth.,Estimating modal parameters for a simple soft‐soil site having a linear distribution of shear wave velocity with depth,,24,88.89%,88.89%
Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay.,Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay,Y Wang,6,92.86%,92.86%
Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV antibody immobilization.,Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV …,AC Finnefrock,15,85.71%,100.00%
Specific interaction between hnRNP H and HPV16 L1 proteins: implications for late gene auto-regulation enabling rapid viral capsid protein production.,Specific interaction between hnRNP H and HPV16 L1 proteins: Implications for late gene auto-regulation enabling rapid viral capsid protein production,,4,90.00%,90.00%
Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy.,Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy,,34,90.91%,90.91%
"Hepatitis E vaccine development, a 14-year odyssey",Hepatitis E vaccine development: a 14 year odyssey,,56,71.43%,62.50%
Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: A case study with Hepatitis B vaccine,Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: a case study with hepatitis B vaccine,Y Wang,33,89.47%,89.47%
Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Y Wang,36,100.00%,100.00%
Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Y Modis,62,100.00%,100.00%
Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat- and redox-treatment.,Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat-and redox-treatment,,21,80.00%,85.71%
In-depth process understanding of RECOMBIVAX HB® maturationand potential epitope improvements with redox treatment: Multifaceted biochemical and immunochemical characterization.,In-depth process understanding of RECOMBIVAX HB® maturation and potential epitope improvements with redox treatment: multifaceted biochemical and …,,25,77.78%,82.35%
